sampledate,sampletime,do_wtemp,pco2_ppm,ph
2019-9-1,13:34:00,23.65,79.90,8.78
2019-9-1,13:35:00,23.63,77.70,8.78
2019-9-1,13:36:00,23.63,77.70,8.78
2019-9-1,13:37:00,23.72,74.30,8.78
2019-9-1,13:38:00,23.72,76.50,8.78
2019-9-1,13:39:00,23.81,78.80,8.78
2019-9-1,13:40:00,23.81,90.10,8.78
2019-9-1,13:41:00,23.56,73.70,8.79
2019-9-1,13:42:00,23.56,73.20,8.79
2019-9-1,13:43:00,23.31,69.80,8.80
2019-9-1,13:44:00,23.31,72.00,8.80
2019-9-1,13:45:00,23.46,73.20,8.79
2019-9-1,13:46:00,23.46,68.60,8.79
2019-9-1,13:47:00,23.46,74.30,8.80
2019-9-1,13:48:00,23.46,72.00,8.80
2019-9-1,13:49:00,23.28,70.90,8.81
2019-9-1,13:50:00,23.28,69.80,8.81
2019-9-1,13:51:00,23.85,68.10,8.79
2019-9-1,13:52:00,23.85,64.10,8.79
2019-9-1,13:53:00,23.86,69.80,8.79
2019-9-1,13:54:00,23.86,69.80,8.79
2019-9-1,13:55:00,23.92,69.80,8.78
2019-9-1,13:56:00,23.92,69.80,8.78
2019-9-1,13:57:00,23.95,68.60,8.78
2019-9-1,13:58:00,23.95,72.00,8.78
2019-9-1,13:59:00,23.55,69.80,8.80
2019-9-1,14:00:00,23.55,61.30,8.80
2019-9-1,14:01:00,22.71,66.40,8.83
2019-9-1,14:02:00,22.71,63.00,8.83
2019-9-1,14:03:00,22.99,69.20,8.83
2019-9-1,14:04:00,22.99,64.10,8.83
2019-9-1,14:05:00,22.35,57.30,8.85
2019-9-1,14:06:00,22.35,72.00,8.85
2019-9-1,14:07:00,21.95,59.60,8.86
2019-9-1,14:08:00,21.95,61.30,8.86
2019-9-1,14:09:00,22.74,61.30,8.83
2019-9-1,14:10:00,22.74,67.50,8.83
2019-9-1,14:11:00,22.95,55.60,8.83
2019-9-1,14:12:00,22.95,66.40,8.83
2019-9-1,14:13:00,23.35,63.60,8.81
2019-9-1,14:14:00,23.35,65.20,8.81
2019-9-1,14:15:00,23.32,65.20,8.81
2019-9-1,14:16:00,23.32,63.00,8.81
2019-9-1,14:17:00,23.82,63.00,8.79
2019-9-1,14:18:00,23.82,63.00,8.79
2019-9-1,14:19:00,22.63,62.40,8.84
2019-9-1,14:20:00,22.63,63.00,8.84
2019-9-1,14:21:00,23.14,62.40,8.82
2019-9-1,14:22:00,23.14,68.60,8.82
2019-9-1,14:23:00,23.50,66.40,8.81
2019-9-1,14:24:00,23.50,65.20,8.81
2019-9-1,14:25:00,23.65,58.50,8.81
2019-9-1,14:26:00,23.65,64.10,8.81
2019-9-1,14:27:00,23.22,72.00,8.82
2019-9-1,14:28:00,23.22,73.20,8.82
2019-9-1,14:29:00,22.97,60.70,8.83
2019-9-1,14:30:00,22.97,61.90,8.83
2019-9-1,14:31:00,22.61,65.80,8.83
2019-9-1,14:32:00,22.61,66.40,8.83
2019-9-1,14:33:00,22.97,67.50,8.83
2019-9-1,14:34:00,22.97,63.00,8.83
2019-9-1,14:35:00,22.31,61.30,8.85
2019-9-1,14:36:00,22.31,67.50,8.85
2019-9-1,14:37:00,22.14,67.00,8.85
2019-9-1,14:38:00,22.14,67.50,8.85
2019-9-1,14:39:00,23.02,65.80,8.83
2019-9-1,14:40:00,23.02,73.20,8.83
2019-9-1,14:41:00,22.89,70.90,8.84
2019-9-1,14:42:00,22.89,61.90,8.84
2019-9-1,14:43:00,23.03,64.10,8.84
2019-9-1,14:44:00,23.03,63.00,8.84
2019-9-1,14:45:00,23.31,67.50,8.83
2019-9-1,14:46:00,23.31,59.00,8.83
2019-9-1,14:47:00,22.77,55.10,8.84
2019-9-1,14:48:00,22.77,59.60,8.84
2019-9-1,14:49:00,22.68,65.20,8.86
2019-9-1,14:50:00,22.68,69.80,8.86
2019-9-1,14:51:00,22.91,63.00,8.85
2019-9-1,14:52:00,22.91,69.80,8.85
2019-9-1,14:53:00,22.95,59.60,8.84
2019-9-1,14:54:00,22.95,73.20,8.84
2019-9-1,14:55:00,23.19,61.30,8.84
2019-9-1,14:56:00,23.19,64.10,8.84
2019-9-1,14:57:00,23.02,69.20,8.84
2019-9-1,14:58:00,23.02,68.60,8.84
2019-9-1,14:59:00,22.56,69.20,8.86
2019-9-1,15:00:00,22.56,63.00,8.86
2019-9-1,15:01:00,22.35,57.90,8.87
2019-9-1,15:02:00,22.35,63.00,8.87
2019-9-1,15:03:00,22.57,64.10,8.86
2019-9-1,15:04:00,22.57,64.10,8.86
2019-9-1,15:05:00,22.64,57.90,8.87
2019-9-1,15:06:00,22.64,57.30,8.87
2019-9-1,15:07:00,22.82,55.60,8.86
2019-9-1,15:08:00,22.82,59.60,8.86
2019-9-1,15:09:00,23.05,65.20,8.84
2019-9-1,15:10:00,23.05,61.90,8.84
2019-9-1,15:11:00,22.27,61.90,8.89
2019-9-1,15:12:00,22.27,56.20,8.89
2019-9-1,15:13:00,22.60,55.10,8.87
2019-9-1,15:14:00,22.60,58.50,8.87
2019-9-1,15:15:00,23.09,55.10,8.85
2019-9-1,15:16:00,23.09,52.80,8.85
2019-9-1,15:17:00,22.27,47.20,8.90
2019-9-1,15:18:00,22.27,47.20,8.90
2019-9-1,15:19:00,22.75,51.70,8.87
2019-9-1,15:20:00,22.75,55.10,8.87
2019-9-1,15:21:00,23.01,48.30,8.85
2019-9-1,15:22:00,23.01,49.40,8.85
2019-9-1,15:23:00,22.61,44.90,8.89
2019-9-1,15:24:00,22.61,44.90,8.89
2019-9-1,15:25:00,22.98,44.90,8.86
2019-9-1,15:26:00,22.98,44.40,8.86
2019-9-1,15:27:00,23.27,41.50,8.85
2019-9-1,15:28:00,23.27,44.90,8.85
2019-9-1,15:29:00,22.86,47.20,8.87
2019-9-1,15:30:00,22.86,47.20,8.87
2019-9-1,15:31:00,22.91,46.00,8.86
2019-9-1,15:32:00,22.91,43.80,8.86
2019-9-1,15:33:00,22.59,43.80,8.88
2019-9-1,15:34:00,22.59,57.30,8.88
2019-9-1,15:35:00,22.68,40.40,8.86
2019-9-1,15:36:00,22.68,31.40,8.86
2019-9-1,15:37:00,22.47,38.10,8.89
2019-9-1,15:38:00,22.47,45.50,8.89
2019-9-1,15:39:00,22.69,40.40,8.87
2019-9-1,15:40:00,22.69,41.50,8.87
2019-9-1,15:41:00,22.36,46.00,8.88
2019-9-1,15:42:00,22.36,43.80,8.88
2019-9-1,15:43:00,22.44,43.80,8.88
2019-9-1,15:44:00,22.44,30.20,8.88
2019-9-1,15:45:00,22.81,41.00,8.87
2019-9-1,15:46:00,22.81,47.20,8.87
2019-9-1,15:47:00,22.70,41.50,8.88
2019-9-1,15:48:00,22.70,52.80,8.88
2019-9-1,15:49:00,22.51,38.70,8.87
2019-9-1,15:50:00,22.51,47.20,8.87
2019-9-1,15:51:00,22.33,41.50,8.88
2019-9-1,15:52:00,22.33,42.60,8.88
2019-9-1,15:53:00,22.34,44.90,8.88
2019-9-1,15:54:00,22.34,42.60,8.88
2019-9-1,15:55:00,22.70,39.80,8.87
2019-9-1,15:56:00,22.70,40.40,8.87
2019-9-1,15:57:00,22.45,47.70,8.88
2019-9-1,15:58:00,22.45,38.10,8.88
2019-9-1,15:59:00,22.29,41.50,8.89
2019-9-1,16:00:00,22.29,38.10,8.89
2019-9-1,16:01:00,22.61,40.40,8.87
2019-9-1,16:02:00,22.61,44.90,8.87
2019-9-1,16:03:00,22.61,41.50,8.88
2019-9-1,16:04:00,22.61,25.70,8.88
2019-9-1,16:05:00,22.71,41.50,8.88
2019-9-1,16:06:00,22.71,41.50,8.88
2019-9-1,16:07:00,22.74,41.50,8.88
2019-9-1,16:08:00,22.74,44.90,8.88
2019-9-1,16:09:00,22.91,42.10,8.87
2019-9-1,16:10:00,22.91,39.30,8.87
2019-9-1,16:11:00,22.75,34.70,8.88
2019-9-1,16:12:00,22.75,35.90,8.88
2019-9-1,16:13:00,22.79,35.90,8.88
2019-9-1,16:14:00,22.79,47.20,8.88
2019-9-1,16:15:00,22.74,47.20,8.88
2019-9-1,16:16:00,22.74,41.50,8.88
2019-9-1,16:17:00,22.76,26.80,8.89
2019-9-1,16:18:00,22.76,37.00,8.89
2019-9-1,16:19:00,22.88,38.70,8.88
2019-9-1,16:20:00,22.88,40.40,8.88
2019-9-1,16:21:00,22.77,38.10,8.88
2019-9-1,16:22:00,22.77,34.70,8.88
2019-9-1,16:23:00,22.49,39.80,8.89
2019-9-1,16:24:00,22.49,40.40,8.89
2019-9-1,16:25:00,22.75,38.10,8.88
2019-9-1,16:26:00,22.75,37.00,8.88
2019-9-1,16:27:00,22.77,41.50,8.88
2019-9-1,16:28:00,22.77,32.50,8.88
2019-9-1,16:29:00,22.59,35.90,8.89
2019-9-1,16:30:00,22.59,39.30,8.89
2019-9-1,16:31:00,22.86,42.10,8.89
2019-9-1,16:32:00,22.86,40.40,8.89
2019-9-1,16:33:00,22.68,41.50,8.89
2019-9-1,16:34:00,22.68,38.10,8.89
2019-9-1,16:35:00,22.68,40.40,8.89
2019-9-1,16:36:00,22.68,46.00,8.89
2019-9-1,16:37:00,22.81,39.80,8.89
2019-9-1,16:38:00,22.81,41.50,8.89
2019-9-1,16:39:00,23.30,46.00,8.87
2019-9-1,16:40:00,23.30,42.60,8.87
2019-9-1,16:41:00,23.47,50.60,8.86
2019-9-1,16:42:00,23.47,50.60,8.86
2019-9-1,16:43:00,22.82,48.30,8.88
2019-9-1,16:44:00,22.82,43.80,8.88
2019-9-1,16:45:00,22.68,43.20,8.89
2019-9-1,16:46:00,22.68,47.20,8.89
2019-9-1,16:47:00,22.74,46.00,8.89
2019-9-1,16:48:00,22.74,47.70,8.89
2019-9-1,16:49:00,22.81,44.90,8.88
2019-9-1,16:50:00,22.81,50.60,8.88
2019-9-1,16:51:00,22.60,44.90,8.90
2019-9-1,16:52:00,22.60,44.90,8.90
2019-9-1,16:53:00,22.65,45.50,8.90
2019-9-1,16:54:00,22.65,38.10,8.90
2019-9-1,16:55:00,22.43,49.40,8.91
2019-9-1,16:56:00,22.43,44.90,8.91
2019-9-1,16:57:00,22.37,38.10,8.91
2019-9-1,16:58:00,22.37,37.00,8.91
2019-9-1,16:59:00,22.37,32.50,8.91
2019-9-1,17:00:00,22.37,31.40,8.91
2019-9-1,17:01:00,22.12,32.50,8.91
2019-9-1,17:02:00,22.12,34.70,8.91
2019-9-1,17:03:00,22.58,35.90,8.90
2019-9-1,17:04:00,22.58,34.70,8.90
2019-9-1,17:05:00,22.61,34.70,8.91
2019-9-1,17:06:00,22.61,34.70,8.91
2019-9-1,17:07:00,22.97,34.20,8.89
2019-9-1,17:08:00,22.97,34.70,8.89
2019-9-1,17:09:00,22.56,33.60,8.90
2019-9-1,17:10:00,22.56,34.70,8.90
2019-9-1,17:11:00,22.67,37.00,8.90
2019-9-1,17:12:00,22.67,34.70,8.90
2019-9-1,17:13:00,22.39,34.70,8.90
2019-9-1,17:14:00,22.39,37.00,8.90
2019-9-1,17:15:00,22.70,38.10,8.89
2019-9-1,17:16:00,22.70,35.90,8.89
2019-9-1,17:17:00,22.75,33.60,8.90
2019-9-1,17:18:00,22.75,42.60,8.90
2019-9-1,17:19:00,22.81,40.40,8.89
2019-9-1,17:20:00,22.81,33.60,8.89
2019-9-1,17:21:00,22.76,30.80,8.89
2019-9-1,17:22:00,22.76,33.60,8.89
2019-9-1,17:23:00,22.82,35.90,8.89
2019-9-1,17:24:00,22.82,37.00,8.89
2019-9-1,17:25:00,22.83,37.00,8.89
2019-9-1,17:26:00,22.83,37.00,8.89
2019-9-1,17:27:00,23.10,38.10,8.88
2019-9-1,17:28:00,23.10,37.00,8.88
2019-9-1,17:29:00,23.02,33.60,8.89
2019-9-1,17:30:00,23.02,35.90,8.89
2019-9-1,17:31:00,22.77,34.70,8.88
2019-9-1,17:32:00,22.77,35.90,8.88
2019-9-1,17:33:00,22.87,40.40,8.89
2019-9-1,17:34:00,22.87,32.50,8.89
2019-9-1,17:35:00,22.83,46.00,8.89
2019-9-1,17:36:00,22.83,33.60,8.89
2019-9-1,17:37:00,22.59,40.40,8.90
2019-9-1,17:38:00,22.59,37.00,8.90
2019-9-1,17:39:00,22.71,43.80,8.90
2019-9-1,17:40:00,22.71,39.30,8.90
2019-9-1,17:41:00,22.56,39.30,8.90
2019-9-1,17:42:00,22.56,33.60,8.90
2019-9-1,17:43:00,22.91,41.00,8.89
2019-9-1,17:44:00,22.91,41.50,8.89
2019-9-1,17:45:00,23.21,37.00,8.88
2019-9-1,17:46:00,23.21,41.50,8.88
2019-9-1,17:47:00,22.87,36.40,8.90
2019-9-1,17:48:00,22.87,38.10,8.90
2019-9-1,17:49:00,22.67,33.60,8.90
2019-9-1,17:50:00,22.67,41.50,8.90
2019-9-1,17:51:00,22.86,31.40,8.89
2019-9-1,17:52:00,22.86,41.50,8.89
2019-9-1,17:53:00,23.05,32.50,8.89
2019-9-1,17:54:00,23.05,32.50,8.89
2019-9-1,17:55:00,22.91,39.30,8.90
2019-9-1,17:56:00,22.91,38.10,8.90
2019-9-1,17:57:00,23.35,41.50,8.88
2019-9-1,17:58:00,23.35,41.50,8.88
2019-9-1,17:59:00,22.79,42.60,8.90
2019-9-1,18:00:00,22.79,42.60,8.90
2019-9-1,18:01:00,23.24,39.30,8.88
2019-9-1,18:02:00,23.24,50.60,8.88
2019-9-1,18:03:00,23.23,46.00,8.89
2019-9-1,18:04:00,23.23,42.60,8.89
2019-9-1,18:05:00,22.54,48.30,8.90
2019-9-1,18:06:00,22.54,50.60,8.90
2019-9-1,18:07:00,22.19,48.90,8.90
2019-9-1,18:08:00,22.19,41.50,8.90
2019-9-1,18:09:00,22.59,41.00,8.90
2019-9-1,18:10:00,22.59,46.00,8.90
2019-9-1,18:11:00,22.73,45.50,8.90
2019-9-1,18:12:00,22.73,43.80,8.90
2019-9-1,18:13:00,22.66,42.60,8.90
2019-9-1,18:14:00,22.66,41.50,8.90
2019-9-1,18:15:00,22.59,40.40,8.90
2019-9-1,18:16:00,22.59,42.60,8.90
2019-9-1,18:17:00,22.47,45.50,8.90
2019-9-1,18:18:00,22.47,47.20,8.90
2019-9-1,18:19:00,23.05,43.20,8.88
2019-9-1,18:20:00,23.05,49.40,8.88
2019-9-1,18:21:00,22.76,33.60,8.90
2019-9-1,18:22:00,22.76,39.30,8.90
2019-9-1,18:23:00,22.25,39.30,8.90
2019-9-1,18:24:00,22.25,40.40,8.90
2019-9-1,18:25:00,22.55,37.00,8.89
2019-9-1,18:26:00,22.55,41.50,8.89
2019-9-1,18:27:00,22.54,41.50,8.90
2019-9-1,18:28:00,22.54,40.40,8.90
2019-9-1,18:29:00,22.73,44.90,8.89
2019-9-1,18:30:00,22.73,44.90,8.89
2019-9-1,18:31:00,22.53,35.90,8.90
2019-9-1,18:32:00,22.53,37.00,8.90
2019-9-1,18:33:00,22.83,41.50,8.89
2019-9-1,18:34:00,22.83,30.80,8.89
2019-9-1,18:35:00,22.84,47.70,8.89
2019-9-1,18:36:00,22.84,41.50,8.89
2019-9-1,18:37:00,22.91,41.00,8.89
2019-9-1,18:38:00,22.91,48.30,8.89
2019-9-1,18:39:00,23.00,46.00,8.89
2019-9-1,18:40:00,23.00,43.80,8.89
2019-9-1,18:41:00,23.43,42.60,8.88
2019-9-1,18:42:00,23.43,46.60,8.88
2019-9-1,18:43:00,23.01,48.90,8.90
2019-9-1,18:44:00,23.01,29.10,8.90
2019-9-1,18:45:00,22.59,38.10,8.90
2019-9-1,18:46:00,22.59,44.90,8.90
2019-9-1,18:47:00,22.70,33.60,8.90
2019-9-1,18:48:00,22.70,37.00,8.90
2019-9-1,18:49:00,22.64,41.00,8.90
2019-9-1,18:50:00,22.64,44.90,8.90
2019-9-1,18:51:00,22.83,41.00,8.90
2019-9-1,18:52:00,22.83,44.90,8.90
2019-9-1,18:53:00,22.76,42.60,8.90
2019-9-1,18:54:00,22.76,40.40,8.90
2019-9-1,18:55:00,22.83,41.50,8.90
2019-9-1,18:56:00,22.83,33.60,8.90
2019-9-1,18:57:00,23.03,44.90,8.90
2019-9-1,18:58:00,23.03,47.20,8.90
2019-9-1,18:59:00,22.91,41.50,8.90
2019-9-1,19:00:00,22.91,35.90,8.90
2019-9-1,19:01:00,23.03,44.90,8.90
2019-9-1,19:02:00,23.03,39.30,8.90
2019-9-1,19:03:00,23.06,40.40,8.89
2019-9-1,19:04:00,23.06,39.30,8.89
2019-9-1,19:05:00,22.72,40.40,8.90
2019-9-1,19:06:00,22.72,39.30,8.90
2019-9-1,19:07:00,23.07,39.30,8.89
2019-9-1,19:08:00,23.07,40.40,8.89
2019-9-1,19:09:00,22.92,40.40,8.90
2019-9-1,19:10:00,22.92,45.50,8.90
2019-9-1,19:11:00,22.66,41.50,8.90
2019-9-1,19:12:00,22.66,33.60,8.90
2019-9-1,19:13:00,22.79,48.90,8.90
2019-9-1,19:14:00,22.79,48.30,8.90
2019-9-1,19:15:00,22.73,40.40,8.90
2019-9-1,19:16:00,22.73,39.30,8.90
2019-9-1,19:17:00,23.00,41.50,8.89
2019-9-1,19:18:00,23.00,37.00,8.89
2019-9-1,19:19:00,23.09,41.50,8.89
2019-9-1,19:20:00,23.09,46.00,8.89
2019-9-1,19:21:00,22.94,40.40,8.90
2019-9-1,19:22:00,22.94,46.00,8.90
2019-9-1,19:23:00,23.04,40.40,8.89
2019-9-1,19:24:00,23.04,48.30,8.89
2019-9-1,19:25:00,22.97,30.80,8.90
2019-9-1,19:26:00,22.97,34.70,8.90
2019-9-1,19:27:00,23.13,35.90,8.89
2019-9-1,19:28:00,23.13,35.90,8.89
2019-9-1,19:29:00,23.05,35.90,8.89
2019-9-1,19:30:00,23.05,35.90,8.89
2019-9-1,19:31:00,23.11,47.70,8.89
2019-9-1,19:32:00,23.11,32.50,8.89
2019-9-1,19:33:00,23.07,42.60,8.90
2019-9-1,19:34:00,23.07,43.80,8.90
2019-9-1,19:35:00,23.02,38.10,8.89
2019-9-1,19:36:00,23.02,39.30,8.89
2019-9-1,19:37:00,23.09,39.30,8.89
2019-9-1,19:38:00,23.09,39.30,8.89
2019-9-1,19:39:00,23.12,43.80,8.89
2019-9-1,19:40:00,23.12,43.80,8.89
2019-9-1,19:41:00,23.09,42.60,8.89
2019-9-1,19:42:00,23.09,40.40,8.89
2019-9-1,19:43:00,23.07,42.60,8.89
2019-9-1,19:44:00,23.07,42.60,8.89
2019-9-1,19:45:00,22.82,33.60,8.89
2019-9-1,19:46:00,22.82,39.30,8.89
2019-9-1,19:47:00,23.05,41.50,8.90
2019-9-1,19:48:00,23.05,42.60,8.90
2019-9-1,19:49:00,23.04,43.20,8.89
2019-9-1,19:50:00,23.04,43.20,8.89
2019-9-1,19:51:00,23.00,30.80,8.89
2019-9-1,19:52:00,23.00,37.00,8.89
2019-9-1,19:53:00,22.98,38.10,8.89
2019-9-1,19:54:00,22.98,40.40,8.89
2019-9-1,19:55:00,22.91,39.30,8.90
2019-9-1,19:56:00,22.91,39.30,8.90
2019-9-1,19:57:00,23.00,39.30,8.90
2019-9-1,19:58:00,23.00,34.70,8.90
2019-9-1,19:59:00,22.85,42.60,8.90
2019-9-1,20:00:00,22.85,40.40,8.90
2019-9-1,20:01:00,22.78,41.50,8.90
2019-9-1,20:02:00,22.78,35.90,8.90
2019-9-1,20:03:00,22.93,36.40,8.90
2019-9-1,20:04:00,22.93,43.80,8.90
2019-9-1,20:05:00,22.92,39.30,8.90
2019-9-1,20:06:00,22.92,40.40,8.90
2019-9-1,20:07:00,22.90,41.00,8.90
2019-9-1,20:08:00,22.90,40.40,8.90
2019-9-1,20:09:00,22.88,39.30,8.90
2019-9-1,20:10:00,22.88,40.40,8.90
2019-9-1,20:11:00,22.85,43.20,8.90
2019-9-1,20:12:00,22.85,33.60,8.90
2019-9-1,20:13:00,22.85,42.60,8.90
2019-9-1,20:14:00,22.85,43.80,8.90
2019-9-1,20:15:00,22.80,41.50,8.90
2019-9-1,20:16:00,22.80,43.80,8.90
2019-9-1,20:17:00,22.82,44.90,8.90
2019-9-1,20:18:00,22.82,45.50,8.90
2019-9-1,20:19:00,22.80,33.60,8.90
2019-9-1,20:20:00,22.80,43.80,8.90
2019-9-1,20:21:00,22.79,48.30,8.90
2019-9-1,20:22:00,22.79,46.60,8.90
2019-9-1,20:23:00,22.78,51.70,8.91
2019-9-1,20:24:00,22.78,44.40,8.91
2019-9-1,20:25:00,22.77,51.70,8.91
2019-9-1,20:26:00,22.77,44.90,8.91
2019-9-1,20:27:00,22.75,43.80,8.90
2019-9-1,20:28:00,22.75,46.00,8.90
2019-9-1,20:29:00,22.73,46.00,8.91
2019-9-1,20:30:00,22.73,41.50,8.91
2019-9-1,20:31:00,22.71,40.40,8.91
2019-9-1,20:32:00,22.71,45.50,8.91
2019-9-1,20:33:00,22.70,44.40,8.91
2019-9-1,20:34:00,22.70,47.20,8.91
2019-9-1,20:35:00,22.70,47.20,8.90
2019-9-1,20:36:00,22.70,46.00,8.90
2019-9-1,20:37:00,22.69,46.00,8.90
2019-9-1,20:38:00,22.69,44.90,8.90
2019-9-1,20:39:00,22.70,44.40,8.90
2019-9-1,20:40:00,22.70,45.50,8.90
2019-9-1,20:41:00,22.68,54.50,8.90
2019-9-1,20:42:00,22.68,47.20,8.90
2019-9-1,20:43:00,22.67,50.60,8.90
2019-9-1,20:44:00,22.67,50.60,8.90
2019-9-1,20:45:00,22.65,44.90,8.90
2019-9-1,20:46:00,22.65,47.20,8.90
2019-9-1,20:47:00,22.65,47.70,8.90
2019-9-1,20:48:00,22.65,49.40,8.90
2019-9-1,20:49:00,22.66,50.60,8.90
2019-9-1,20:50:00,22.66,51.70,8.90
2019-9-1,20:51:00,22.64,45.50,8.90
2019-9-1,20:52:00,22.64,45.50,8.90
2019-9-1,20:53:00,22.55,51.70,8.90
2019-9-1,20:54:00,22.55,50.60,8.90
2019-9-1,20:55:00,22.62,48.30,8.90
2019-9-1,20:56:00,22.62,49.40,8.90
2019-9-1,20:57:00,22.63,48.30,8.90
2019-9-1,20:58:00,22.63,56.20,8.90
2019-9-1,20:59:00,22.61,50.60,8.90
2019-9-1,21:00:00,22.61,47.20,8.90
2019-9-1,21:01:00,22.60,50.60,8.90
2019-9-1,21:02:00,22.60,50.60,8.90
2019-9-1,21:03:00,22.59,61.90,8.90
2019-9-1,21:04:00,22.59,46.10,8.90
2019-9-1,21:05:00,22.61,46.10,8.90
2019-9-1,21:06:00,22.61,46.10,8.90
2019-9-1,21:07:00,22.61,46.10,8.90
2019-9-1,21:08:00,22.61,52.90,8.90
2019-9-1,21:09:00,22.62,43.80,8.90
2019-9-1,21:10:00,22.62,45.50,8.90
2019-9-1,21:11:00,22.59,54.00,8.90
2019-9-1,21:12:00,22.59,52.90,8.90
2019-9-1,21:13:00,22.57,52.90,8.90
2019-9-1,21:14:00,22.57,57.40,8.90
2019-9-1,21:15:00,22.58,55.10,8.90
2019-9-1,21:16:00,22.58,55.10,8.90
2019-9-1,21:17:00,22.56,48.30,8.90
2019-9-1,21:18:00,22.56,47.20,8.90
2019-9-1,21:19:00,22.53,48.30,8.90
2019-9-1,21:20:00,22.53,51.70,8.90
2019-9-1,21:21:00,22.49,51.70,8.90
2019-9-1,21:22:00,22.49,50.60,8.90
2019-9-1,21:23:00,22.51,51.70,8.90
2019-9-1,21:24:00,22.51,50.60,8.90
2019-9-1,21:25:00,22.51,34.20,8.90
